Detail level,Claim,Soft/hard,Color,Annotater
High,Excited to apply for position,Soft,Orange,aksv
High,Studying Data Science at the IT University,Hard,Green,aksv
High,Eager to apply analytical and technical skills,Soft,Orange,aksv
High,1.5 years as student data analyst in the medical industry,Hard,Green,aksv
High,Strong skills in Python,Hard,Green,aksv
High,Strong skills in SQL,Hard,Green,aksv
High,Optimized processes,,,
High,Created impactful PowerBI reports,Hard,Green,aksv
High,Academic background in Data Visualisation and Large Scale Analysis,Hard,Green,aksv
High,Experience with data cleaning,Soft,Green,aksv
High,Experience with data preprocessing,Soft,Green,aksv
High,Experience with model development,Soft,Green,aksv
High,Thrive in collaborative environment,Soft,Green,aksv
High,Approach challenges with persistency,Soft,Geen,aksv
High,Enjoy bringing teams together,Soft,Green,aksv
High,Organized team building events in previous job,Hard,Green,aksv
High,Passion for fitness,Soft,Green,aksv
High,Certified fitness coach,Hard,Orange,aksv
High,Drive for continuous improvement,Soft,Orange,aksv
High,Eager to bring data skills and proactive mindset,Soft,Orange,aksv
High,Would love opportunity to contribute to your team,Soft,Orange,aksv
Medium,Excited to apply for position,Soft,Orange,aksv
Medium,Studying Data Science at the IT University,Hard,Green,aksv
Medium,Eager to contribute skills to team,Soft,Green,aksv
Medium,Eager to contribute to data-driven decision making,Soft,Orange,aksv
Medium,Previous student job,Hard,Green,aksv
Medium,Strong skills in Python,Hard,Orange,aksv
Medium,Strong skills in SQL,Hard,Orange,aksv
Medium,Experience with PowerBI reports,Hard,Red,aksv
Medium,Ability to present insights effectively,Soft,Orange,aksv
Medium,Excited to work in an agile setting,Soft,Orange,aksv
Medium,Balanced mindset,Soft,Green,aksv
Medium,Passion for teamwork,Soft,Green,aksv
Medium,Thrive in collaborative environment,Soft,Orange,aksv
Medium,Enjoy tackling complex challenges,Soft,Orange,aksv
Medium,Ability to communicate insights clearly,Soft,Orange,aksv
Medium,Certified fitness coach,Hard,Green,aksv
Medium,Disciplined,Soft,Orange,aksv
Medium,Goal-oritented,Soft,Orange,aksv
Medium,Systematical,Soft,Orange,aksv
Medium,Eager to contribute to team,Soft,Orange,aksv
Medium,Welcome opportunity to discuss how my skills align with the role,Soft,Orange,aksv
Medium,Look forward to hearing from you ,Soft,Orange,aksv
Low,Excited to apply for position,Soft,Orange,aksv
Low,University student,Hard,Orange,aksv
Low,Strong interest in data driven decision making,Soft,Orange,aksv
Low,Eager to contribute skills,Soft,Orange,aksv
Low,Eager to gain hands-on experience,Soft,Orange,aksv
Low,Previous student job,Hard,Green,aksv
Low,Developed proactive and collaborative work style in previous student job,Soft,Orange,aksv
Low,Effective team player,Soft,Orange,aksv
